SKU,gramos/ml,nombre,categoria_general,categoria,precio,ingrediente_clave,país,url,categoria_normalizada,categoria_original
65168,200,Gel de duș - VanilieAdaugă la .,Ducha y Baño,Gel de Ducha,19.9,Vainilla,Rumania,https://nala.ro/products/gel-de-dus-vanilie,Gel de Ducha,Crema de Baño
65139,500,Gel de duș - CafeaAdaugă la .,Ducha y Baño,Gel de Ducha,39.9,Cafe,Rumania,https://nala.ro/products/gel-de-dus-cafea-1,Gel de Ducha,Crema de Baño
65138,500,Gel de duș - CireșeAdaugă la .,Ducha y Baño,Gel de Ducha,39.9,Cereza,Rumania,https://nala.ro/products/gel-de-dus-cirese-1,Gel de Ducha,Gel de Ducha
65137,500,Gel de duș - LiliacAdaugă la .,Ducha y Baño,Gel de Ducha,39.9,Lila,Rumania,https://nala.ro/products/gel-de-dus-liliac-1,Gel de Ducha,Bomba de Baño
65136,300,Lapte Pudră Baie - Trandafiri & VanilieAdaugă la .,Ducha y Baño,Leche de Baño,39.9,Rosas,Rumania,https://nala.ro/products/lapte-pudra-baie-trandafiri-vanilie,Leche De Baño,Bomba de Baño
65104,600,Sare Baie - LiliacAdaugă la .,Ducha y Baño,Sal de Baño,39.9,Lila,Rumania,https://nala.ro/products/sare-baie-liliac,Sal de Baño,Bomba de Baño
65063,200,Gel de duș - Ambră & BourbonAdaugă la .,Ducha y Baño,Gel de Ducha,19.9,Ámbar y Bourbon,Rumania,https://nala.ro/products/gel-de-dus-ambra-bourbon,Gel de Ducha,Bomba de Baño
65050,600,Sare Baie - Trandafiri & VanilieAdaugă la .,Ducha y Baño,Sal de Baño,39.9,Rosas,Rumania,https://nala.ro/products/sare-baie-trandafiri-vanilie,Sal de Baño,Bomba de Baño
65015,200,Gel de duș - CireșeAdaugă la .,Ducha y Baño,Gel de Ducha,19.9,Cereza,Rumania,https://nala.ro/products/gel-de-dus-cirese,Gel de Ducha,Bomba de Baño
65005,200,Gel de duș - LiliacAdaugă la .,Ducha y Baño,Gel de Ducha,19.9,Lila,Rumania,https://nala.ro/products/gel-de-dus-liliac,Gel de Ducha,Bomba de Baño
65004,200,Gel de Duș Hidratant - Ulei CânepăAdaugă la .,Ducha y Baño,Gel de Ducha,24.9,cañamo,Rumania,https://nala.ro/products/gel-de-dus-hidratant-ulei-canepa,Gel de Ducha,Bomba de Baño
65002,200,Spumă Baie - GrapefruitAdaugă la .,Ducha y Baño,Espuma de Baño,24.9,Pomelo,Rumania,https://nala.ro/products/spuma-baie-grapefruit-1,Espuma De Baño,Jabon Natural
65001,200,Spumă Baie - Struguri roșiiAdaugă la .,Ducha y Baño,Espuma de Baño,19.9,Uvas Rojas,Rumania,https://nala.ro/products/spuma-baie-struguri-rosii-1,Espuma De Baño,Jabon Natural
65000,200,Spumă Baie - LiliacAdaugă la .,Ducha y Baño,Espuma de Baño,24.9,Lila,Rumania,https://nala.ro/products/spuma-baie-liliac,Espuma De Baño,Jabon Natural
64899,250,Săpun Natural Lichid Mâini - Struguri RoșiiAdaugă la .,Ducha y Baño,Jabon de manos,14.9,Uvas Rojas,Rumania,https://nala.ro/products/sapun-natural-lichid-maini-struguri-rosii-1,Jabón Natural,Jabon Natural
64898,250,Săpun Natural Lichid Hidratant - Ulei CânepăAdaugă la .,Ducha y Baño,Jabon de manos,19.9,Cañamo,Rumania,https://nala.ro/products/sapun-natural-lichid-hidratant-ulei-canepa,Jabón Natural,Jabon Natural
64871,500,Gel de duș - GrapefruitAdaugă la .,Ducha y Baño,Gel de Ducha,39.9,Pomelo,Rumania,https://nala.ro/products/gel-de-dus-grapefruit-2,Gel de Ducha,Gel de Ducha
64870,500,Gel de duș - Struguri roșiiAdaugă la .,Ducha y Baño,Gel de Ducha,39.9,Uvas Rojas,Rumania,https://nala.ro/products/gel-de-dus-struguri-rosii-2,Gel de Ducha,Gel de Ducha
64869,200,Gel de duș - RodieAdaugă la .,Ducha y Baño,Gel de Ducha,19.9,Granada,Rumania,https://nala.ro/products/gel-de-dus-rodie,Gel de Ducha,Gel de Ducha
64868,200,Gel de duș - CafeaAdaugă la .,Ducha y Baño,Gel de Ducha,19.9,Cafe,Rumania,https://nala.ro/products/gel-de-dus-cafea,Gel de Ducha,Gel de Ducha
64867,200,Gel de duș - Nucă de Cocos & VanilieAdaugă la .,Ducha y Baño,Gel de Ducha,19.9,Coco,Rumania,https://nala.ro/products/gel-de-dus-nuca-de-cocos-vanilie,Gel de Ducha,Leche de Baño
64866,200,Gel de duș - Struguri roșiiAdaugă la .,Ducha y Baño,Gel de Ducha,19.9,Uvas Rojas,Rumania,https://nala.ro/products/gel-de-dus-struguri-rosii-1,Gel de Ducha,Sal de Baño
64863,200,Gel de duș - GrapefruitAdaugă la .,Ducha y Baño,Gel de Ducha,19.9,Pomelo,Rumania,https://nala.ro/products/gel-de-dus-grapefruit-1,Gel de Ducha,Gel de Ducha
64862,200,Gel de duș - Flori de PrimăvarăAdaugă la .,Ducha y Baño,Gel de Ducha,19.9,Flores de Primavera,Rumania,https://nala.ro/products/gel-de-dus-flori-de-primavara-1,Gel de Ducha,Sal de Baño
64859,50,Bombă Baie Hidratantă - Nucă de CocosAdaugă la .,Ducha y Baño,Crema de Baño,12.9,Coco,Rumania,https://nala.ro/products/bomba-baie-hidratanta-nuca-de-cocos,Bomba de Baño,Gel de Ducha
64857,50,Bombă Baie Hidratantă - GrapefruitAdaugă la .,Ducha y Baño,Crema de Baño,12.9,Pomelo,Rumania,https://nala.ro/products/bomba-baie-hidratanta-grapefruit,Bomba de Baño,Gel de Ducha
64853,125,Bombă Baie Efervescentă - Ulei CânepăAdaugă la .,Ducha y Baño,Bomba de Baño,12.9,Cañamo,Rumania,https://nala.ro/products/bomba-baie-efervescenta-ulei-canepa,Bomba de Baño,Gel de Ducha
64838,200,Spumă Baie - CăpșuniAdaugă la .,Ducha y Baño,Espuma de Baño,24.9,Fresa,Rumania,https://nala.ro/products/spuma-baie-capsuni,Espuma De Baño,Espuma de Baño
64834,250,Săpun Natural Lichid Mâini - GrapefruitAdaugă la .,Ducha y Baño,Jabon de manos,12.9,Pomelo,Rumania,https://nala.ro/products/sapun-natural-lichid-maini-grapefruit,Jabón Natural,Espuma de Baño
64814,100,Săpun Natural cu Lufă - VanilieAdaugă la .,Ducha y Baño,Jabon Natural,12.9,Vainilla,Rumania,https://nala.ro/products/sapun-natural-cu-lufa-vanilie,Jabón Natural,Espuma de Baño
64813,50,Bombă Baie Hidratantă - BananăAdaugă la .,Ducha y Baño,Crema de Baño,12.9,Banana,Rumania,https://nala.ro/products/bomba-baie-hidratanta-banana,Bomba de Baño,Jabon de manos
64812,125,Bombă Baie Efervescentă - Lămâie VerdeAdaugă la .,Ducha y Baño,Bomba de Baño,12.9,Limón,Rumania,https://nala.ro/products/bomba-baie-efervescenta-lamaie-verde,Bomba de Baño,Jabon de manos
64811,125,Bombă Baie Efervescentă - CoacăzeAdaugă la .,Ducha y Baño,Bomba de Baño,12.9,Grosellas,Rumania,https://nala.ro/products/bomba-baie-efervescenta-coacaze,Bomba de Baño,Gel de Ducha
64809,125,Bombă Baie Efervescentă - Liliac StrălucitorAdaugă la .,Ducha y Baño,Bomba de Baño,12.9,Lila Brillante,Rumania,https://nala.ro/products/bomba-baie-efervescenta-liliac-stralucitor,Bomba de Baño,Gel de Ducha
64380,200,Gel de duș Exfoliant Hidratant - ZmeurăAdaugă la .,Ducha y Baño,Gel de Ducha,29.9,Frambuesa,Rumania,https://nala.ro/products/gel-dus-exfoliant-hidratant-zmeura,Gel de Ducha,Gel de Ducha
64379,200,Gel de duș Exfoliant Hidratant - CăpșuniAdaugă la .,Ducha y Baño,Gel de Ducha,29.9,Fresa,Rumania,https://nala.ro/products/gel-dus-exfoliant-hidratant-capsuni,Gel de Ducha,Gel de Ducha
64378,200,Gel de duș Exfoliant Hidratant - KiwiAdaugă la .,Ducha y Baño,Gel de Ducha,29.9,Kiwi,Rumania,https://nala.ro/products/gel-dus-exfoliant-hidratant-kiwi,Gel de Ducha,Gel de Ducha
64377,100,Săpun Strălucitor - CitriceAdaugă la .,Ducha y Baño,Jabon Natural,16.9,Cítricos,Rumania,https://nala.ro/products/sapun-stralucitor-citrice,Jabón Natural,Gel de Ducha
64371,200,Gel de duș - VetiverAdaugă la .,Ducha y Baño,Gel de Ducha,19.9,Vetiver,Rumania,https://nala.ro/products/gel-de-dus-vetiver,Gel de Ducha,Gel de Ducha
64370,200,Gel de duș - ȘofranAdaugă la .,Ducha y Baño,Gel de Ducha,19.9,Azafrán,Rumania,https://nala.ro/products/gel-de-dus-sofran,Gel de Ducha,Gel de Ducha
64284,150,Ulei de duș - Vanilie & TrandafiriAdaugă la .,Ducha y Baño,Aceite de Ducha,29.9,Rosas,Rumania,https://nala.ro/products/ulei-dus-vanilie-trandafiri,Aceite de Ducha,Crema de Baño
